PARMID,OPNTYPE,TABLE,ParameterName,ACTIVITYFLAG,ConstituentName,IsMonthlyPossible,Min,Max,Typical,FlagTable,FlagParm,MonthlyParmTable,Notes
1,PERLND,ACTIVITY,AIRTFG,,,,0,1,1,,,,
2,PERLND,ACTIVITY,SNOWFG,,,,0,1,1,,,,
3,PERLND,ACTIVITY,PWATFG,,,,1,1,1,,,,
4,PERLND,ACTIVITY,SEDFG,,,,0,1,1,,,,
5,PERLND,ACTIVITY,PSTFG,,,,0,1,1,,,,
6,PERLND,ACTIVITY,PWGFG,,,,1,1,1,,,,
7,PERLND,ACTIVITY,PQALFG,,,,0,1,1,,,,
8,PERLND,ACTIVITY,MSTLFG,,,,0,1,0,,,,
9,PERLND,ACTIVITY,PESTFG,,,,0,1,0,,,,
10,PERLND,ACTIVITY,NITRFG,,,,0,1,0,,,,
11,PERLND,ACTIVITY,PHOSFG,,,,0,1,0,,,,
12,PERLND,ACTIVITY,TRACFG,,,,0,1,0,,,,
13,PERLND,ATEMP-DAT,ELDAT,AIRTFG,,,-1000,1000,0,,,,
14,PERLND,ATEMP-DAT,AIRTMP,AIRTFG,,,10,70,30,,,,
15,PERLND,ICE-FLAG,ICEFG,SNOWFG,,,0,1,1,,,,
16,PERLND,SNOW-FLAGS,SNOPFG,SNOWFG,,,0,1,0,,,,
17,PERLND,SNOW-FLAGS,VKMFG,SNOWFG,,,0,1,0,,,,
18,PERLND,SNOW-PARM1,LAT,SNOWFG,,,30,50,45,,,,
19,PERLND,SNOW-PARM1,MELEV,SNOWFG,,,50,3000,1500,,,,
20,PERLND,SNOW-PARM1,SHADE,SNOWFG,,,0.1,0.5,0.15,,,,
21,PERLND,SNOW-PARM1,SNOWCF,SNOWFG,,,1.1,1.5,1.2,,,,
22,PERLND,SNOW-PARM1,COVIND,SNOWFG,,,0.1,5,1.5,,,,
23,PERLND,SNOW-PARM1,KMELT,SNOWFG,,1,0.01,0.5,0.1,SNOW-FLAGS,VKMFG,MON-MELT-FAC,
24,PERLND,SNOW-PARM1,TBASE,SNOWFG,,,30,36,32,,,,
25,PERLND,SNOW-PARM2,RDCSN,SNOWFG,,,0.05,0.3,0.15,,,,
26,PERLND,SNOW-PARM2,TSNOW,SNOWFG,,,30,40,32,,,,
27,PERLND,SNOW-PARM2,SNOEVP,SNOWFG,,,0,0.5,0.15,,,,
28,PERLND,SNOW-PARM2,CCFACT,SNOWFG,,,0.05,2,0.15,,,,
29,PERLND,SNOW-PARM2,MWATER,SNOWFG,,,0.005,0.5,0.03,,,,
30,PERLND,SNOW-PARM2,MGMELT,SNOWFG,,,0,0.03,0.01,,,,
31,PERLND,SNOW-INIT1,Pack-snow,SNOWFG,,,0,5,0.5,,,,
32,PERLND,SNOW-INIT1,Pack-ice,SNOWFG,,,0,2,0,,,,
33,PERLND,SNOW-INIT1,Pack-watr,SNOWFG,,,0,2,0,,,,
34,PERLND,SNOW-INIT1,RDENPF,SNOWFG,,,0.1,0.6,0.2,,,,
35,PERLND,SNOW-INIT1,DULL,SNOWFG,,,100,600,375,,,,
36,PERLND,SNOW-INIT1,PAKTMP,SNOWFG,,,0,30,10,,,,
37,PERLND,SNOW-INIT2,COVINX,SNOWFG,,,0.01,8,0.01,,,,
38,PERLND,SNOW-INIT2,XLNMLT,SNOWFG,,,0,2,0,,,,
39,PERLND,SNOW-INIT2,SKYCLR,SNOWFG,,,0.15,1,1,,,,
40,PERLND,PWAT-PARM1,CSNOFG,PWATFG,,,0,1,1,,,,
41,PERLND,PWAT-PARM1,RTOPFG,PWATFG,,,0,3,1,,,,
42,PERLND,PWAT-PARM1,UZFG,PWATFG,,,0,1,1,,,,
43,PERLND,PWAT-PARM1,VCSFG,PWATFG,,,0,1,1,,,,
44,PERLND,PWAT-PARM1,VUZFG,PWATFG,,,0,1,0,,,,
45,PERLND,PWAT-PARM1,VNNFG,PWATFG,,,0,1,0,,,,
