Version	1
Output name:	Project 1
Grid cell size:	300
Subbasins layer:	subbasin2
Soil layer:	State Soil
Soil type ID:	MUID
Landuse type:	1
Landuse layer:	NLCD_LandCover_1992
Landuse ID:	
Road layer:	
Road ID:	
DEM layer:	Digital Elevation Model
DEM units:	Meters
Rainfall factor:	300
Num Erodibility:	346
GA001	HARTSELLS	0.1904
GA002	HARTSELLS	0.2345
GA003	NELLA	0.2021
GA004	SHACK	0.3633
GA005	CONASAUGA	0.3772
GA006	SHACK	0.2902
GA007	SHACK	0.2778
GA008	MINVALE	0.3327
GA009	HOLSTON	0.3211
GA010	CUNNINGHAM	0.323
GA011	TOWNLEY	0.301
GA012	TUPELO	0.3427
GA013	COLBERT	0.3487
GA014	BRADSON	0.2833
GA015	SALUDA	0.2241
GA016	BRADSON	0.2178
GA017	MADISON	0.2388
GA018	WICKHAM	0.2548
GA019	PORTERS	0.2001
GA020	CLIFTON	0.2039
GA023	DEKALB	0.1984
GA024	RAMSEY	0.2289
GA025	MADISON	0.2704
GA026	PACOLET	0.2472
GA027	PORTERS	0.246
GA028	TALLAPOOSA	0.2248
GA029	TALLAPOOSA	0.208
GA030	IREDELL	0.2712
GA031	ASHLAR	0.2324
GA032	GEORGEVILLE	0.424
GA033	GEORGEVILLE	0.4289
GA034	MOUNTAINBURG	0.1788
GA035	WEHADKEE	0.236
GA036	APPLING	0.25
GA037	TALLAPOOSA	0.2394
GA038	VAUCLUSE	0.15
GA039	VAUCLUSE	0.1288
GA040	LAKELAND	0.1387
GA041	NORFOLK	0.1748
GA042	WAHEE	0.1968
GA043	ESTO	0.2128
GA044	BLADEN	0.236
GA045	MEGGETT	0.284
GA046	ORANGEBURG	0.1613
GA047	CHEWACLA	0.2992
GA048	WAGRAM	0.2528
GA049	PELHAM	0.1329
GA050	DOTHAN	0.1297
GA051	RAINS	0.1168
GA052	WICKSBURG	0.1265
GA053	OCILLA	0.1663
GA054	TIFTON	0.1374
GA055	CLARENDON	0.1096
GA056	ORANGEBURG	0.1534
GA057	TIFTON	0.1207
GA058	WAHEE	0.2066
GA059	HENDERSON	0.2072
GA060	ESTO	0.1072
GA061	IUKA	0.1846
GA062	RAINS	0.2023
GA064	KERSHAW	0.1087
GA065	HAZLEHURST	0.1404
GA066	STILSON	0.1165
GA067	ELLABELLE	0.14
GA068	POTTSBURG	0.0992
GA069	OLUSTEE	0.1072
GA070	BROOKMAN	0.244
GA071	BOHICKET	0.28
GA072	OCILLA	0.1349
GA073	MANDARIN	0.1
GA074	PELHAM	0.109
GA075	CHIPLEY	0.1
GA076	CAINHOY	0.1
GA077	POOLER	0.2087
GA078	ECHAW	0.1041
GA079	GRIFTON	0.06
GA080	KINGSLAND	0.169
GA081	EULONIA	0.1674
GA082	JOHNSTON	0.1708
GA083	KERSHAW	0.1319
GA085	LOWNDES	0.117
GA087	PELHAM	0.0935
GA088	CHASTAIN	0.2802
GA097	GREENVILLE	0.2855
GA098	CLIFTON	0.2237
GA099	TSALI	0.1544
GA100	PORTERS	0.2316
GA101	CARTECAY	0.2524
GA103	VAUCLUSE	0.0254
GA105	BODINE	0.2816
GA106	LYERLY	0.3227
GA107	CONASAUGA	0.3649
GA108	APPLING	0.2426
GA109	TATUM	0.2867
GA110	FULLERTON	0.2887
GA112	MUSKINGUM	0.3623
GA113	JEFFERSON	0.1922
GA114	MASCOTTE	0.098
GA115	ROCK OUTCROP	0.225
GA116	CECIL	0.2472
GA117	LEON	0.1
GA118	GOLDHEAD	0.1
GA119	ALBANY	0.1
GA120	MEGGETT	0.1561
GA122	KINGSLAND	0.002
GA123	WATER	0.0945
GA125	SALUDA	0.2241
GA126	CHEWACLA	0.2165
GA127	CECIL	0.0346
GA128	PACOLET	0.1232
GA129	MADISON	0.1352
GAW	WATER	0
NC001	MEGGETT	0.1435
NC003	CHEWACLA	0.2775
NC005	TOXAWAY	0.2773
NC006	CLIFTON	0.2237
NC008	BOHICKET	0.1345
NC009	LAFITTE	0.037
NC010	ROANOKE	0.2262
NC011	ALPIN	0.1737
NC014	JOHNS	0.1987
NC016	PORTSMOUTH	0.2019
NC017	ARGENT	0.2275
NC018	CONETOE	0.1947
NC019	BAYMEADE	0.1371
NC022	PASQUOTANK	0.3201
NC024	CROATAN	0.0109
NC025	PUNGO	0
NC027	ROANOKE	0.2483
NC028	LEAF	0.3301
NC029	LAKELAND	0.132
NC030	WOODINGTON	0.1565
NC033	CROATAN	0.105
NC034	RAINS	0.2032
NC035	NORFOLK	0.1906
NC038	AUTRYVILLE	0.1243
NC039	LEON	0.1041
NC040	KUREB	0.086
NC044	WOODINGTON	0.1752
NC049	TREBLOC	0.3428
NC050	CANDOR	0.1399
NC052	MAYODAN	0.2774
NC057	WHITE STORE	0.2643
NC061	HERNDON	0.343
NC062	TATUM	0.384
NC064	GOLDSTON	0.1295
NC068	WEDOWEE	0.2134
NC069	APPLING	0.2148
NC074	HIWASSEE	0.2722
NC075	PACOLET	0.2187
NC076	TALLAPOOSA	0.2568
NC082	APPLING	0.2464
NC083	ENON	0.2494
NC086	IREDELL	0.2656
NC087	WILKES	0.2342
NC088	CHESTER	0.2689
NC089	CHESTER	0.2733
