State	County	Min R	Avg R	Max R
Alabama	Autauga	375	375	375
Alabama	Baldwin	550	550	550
Alabama	Barbour	375	387	400
Alabama	Bibb	375	375	375
Alabama	Blount	325	325	325
Alabama	Bullock	375	375	375
Alabama	Butler	425	425	425
Alabama	Calhoun	325	325	325
Alabama	Chambers	325	337	350
Alabama	Cherokee	300	300	300
Alabama	Chilton	375	375	375
Alabama	Choctaw	425	425	425
Alabama	Clarke	450	450	450
Alabama	Clay	350	350	350
Alabama	Cleburne	325	325	325
Alabama	Coffee	450	450	450
Alabama	Colbert	300	300	300
Alabama	Conecuh	450	450	450
Alabama	Coosa	350	350	350
Alabama	Covington	475	475	475
Alabama	Crenshaw	425	425	425
Alabama	Cullman	325	325	325
Alabama	Dale	425	425	425
Alabama	Dallas	392	396	400
Alabama	De Kalb	300	300	300
Alabama	Elmore	375	375	375
Alabama	Escambia	525	525	525
Alabama	Etowah	325	325	325
Alabama	Fayette	350	350	350
Alabama	Franklin	300	312	325
Alabama	Geneva	450	450	450
Alabama	Greene	348	361	375
Alabama	Hale	338	356	375
Alabama	Henry	400	400	400
Alabama	Houston	412	418	425
Alabama	Jackson	275	275	275
Alabama	Jefferson	350	350	350
Alabama	Lamar	350	350	350
Alabama	Lauderdale	300	300	300
Alabama	Lawrence	300	300	300
Alabama	Lee	350	350	350
Alabama	Limestone	275	275	275
Alabama	Lowndes	400	400	400
Alabama	Macon	350	350	350
Alabama	Madison	275	275	275
Alabama	Marengo	400	400	400
Alabama	Marion	325	325	325
Alabama	Marshall	300	300	300
Alabama	Mobile	550	550	550
Alabama	Monroe	450	450	450
Alabama	Montgomery	360	380	400
Alabama	Morgan	300	300	300
Alabama	Perry	375	375	375
Alabama	Pickens	350	350	350
Alabama	Pike	400	400	400
Alabama	Randolph	325	325	325
Alabama	Russell	350	350	350
Alabama	Shelby	350	350	350
Alabama	St. Clair	350	350	350
Alabama	Sumter	375	375	375
Alabama	Talladega	350	350	350
Alabama	Tallapoosa	350	350	350
Alabama	Tuscaloosa	350	350	350
Alabama	Walker	350	350	350
Alabama	Washington	451	463	475
Alabama	Wilcox	425	425	425
Alabama	Winston	325	325	325
