Muid	Description	HydGroup
GAW	Water	
GA001	Hartsells	D
GA002	Hartsells	C
GA003	Nella	B
GA004	Shack	D
GA005	Conasauga	D
GA006	Shack	B
GA007	Shack	C
GA008	Minvale	D
GA009	Holston	D
GA010	Cunningham	C
GA011	Townley	D
GA012	Tupelo	B
GA013	Colbert	C
GA025	Madison	B
GA026	Pacolet	B
GA029	Tallapoosa	B
GA030	Iredell	C
GA034	Mountainburg	B
GA037	Tallapoosa	A
GA038	Vaucluse	A
GA039	Vaucluse	A
GA040	Lakeland	B
GA041	Norfolk	B
GA042	Wahee	D
GA045	Meggett	D
GA046	Orangeburg	B
GA047	Chewacla	D
GA048	Wagram	A
GA050	Dothan	B
GA051	Rains	D
GA052	Wicksburg	B
GA053	Ocilla	B
GA057	Tifton	C
GA059	Henderson	D
GA060	Esto	A
GA061	Iuka	D
GA101	Cartecay	B
GA103	Vaucluse	B
GA105	Bodine	B
GA106	Lyerly	C
GA107	Conasauga	D
GA108	Appling	B
GA109	Tatum	C
GA110	Fullerton	B
GA126	Chewacla	D
GA127	Cecil	B
GA128	Pacolet	
GA129	Madison	
GA043	Esto	B
GA049	Pelham	C
GA055	Clarendon	A/D
GA062	Rains	C
GA064	Kershaw	D
GA065	Hazlehurst	B/D
GA066	Stilson	C
GA067	Ellabelle	D
GA068	Pottsburg	B/D
GA070	Brookman	D
GA071	Bohicket	
GA072	Ocilla	D
GA073	Mandarin	A/D
GA074	Pelham	B
GA075	Chipley	A
GA076	Cainhoy	A/D
GA079	Grifton	C
GA080	Kingsland	D
GA082	Johnston	D
GA083	Kershaw	A
GA085	Lowndes	B/D
GA087	Pelham	D
GA114	Mascotte	C
GA117	Leon	B/D
GA118	Goldhead	C
GA119	Albany	C
GA120	Meggett	B/D
GA122	Kingsland	B/D
GA123	Water	D
GA014	Bradson	B
GA015	Saluda	B
GA016	Bradson	B
GA017	Madison	B
GA018	Wickham	C
GA019	Porters	B
GA020	Clifton	B
GA023	Dekalb	B
GA024	Ramsey	B
GA027	Porters	B
GA028	Tallapoosa	B
GA031	Ashlar	B
GA032	Georgeville	B
GA033	Georgeville	B
GA035	Wehadkee	B
GA036	Appling	B
GA044	Bladen	A
GA054	Tifton	D
GA056	Orangeburg	A
GA058	Wahee	D
GA069	Olustee	B/D
GA077	Pooler	D
GA078	Echaw	D
GA081	Eulonia	B/D
GA088	Chastain	C
GA097	Greenville	B
GA098	Clifton	B
GA099	Tsali	B
GA100	Porters	B
GA112	Muskingum	D
GA113	Jefferson	B
GA115	Rock outcrop	B
GA116	Cecil	B
GA125	Saluda	B
NCW	Water	
NC006	Clifton	B
NC090	Hayesville	B/D
NC093	Ashe	B
NC095	Evard	B
NC096	Porters	B
NC098	Wayah	B
NC099	Fannin	B
NC102	Junaluska	B
NC103	Edneyville	C
NC104	Tanasee	B
NC120	Hayesville	B
NC121	Saluda	B
NC123	Dyke	B
SC001	Cecil	B
SC002	Hiwassee	B
SC003	Iredell	B
SC004	Cecil	B
SC005	Cecil	C
SC006	Pacolet	B
SC007	Appling	B
SC008	Cecil	B
SC009	Cataula	C
SC010	Cataula	B
SC011	Cataula	B
SC012	Cecil	C
SC013	Tatum	C
SC014	Goldston	B
SC015	Herndon	D
SC016	Cartecay	B
SC017	Wedowee	C
SC018	Wagram	A
SC019	Lakeland	B/D
SC024	Helena	C
SC043	Hiwassee	C
SC044	Bradson	B
SC045	Saluda	B
SC046	Pacolet	B
SC050	Lakeland	B
SC055	Chastain	C
SC061	Dothan	B
SC062	Orangeburg	A
SC064	Chewacla	D
SC065	Cantey	D
SC066	Troup	B
SC067	Vaucluse	A
SC068	Blanton	B
SC072	Rains	C
SC075	Lynchburg	C
SC084	Bohicket	
SC088	Bladen	C
SC089	Santee	D
SC090	Santee	D
SC092	Paxville	B
SC117	Dothan	A
SC149	Johnston	B
SC152	Norfolk	A
SC154	Rains	D
SC155	Ogeechee	A
SC156	Uchee	B/D
SC157	Blanton	C
SC158	Ashe	B
NC001	Meggett	D
NC003	Chewacla	B
NC005	Toxaway	A
NC008	Bohicket	C
NC009	Lafitte	D
NC010	Roanoke	B
NC011	Alpin	
NC014	Johns	A
NC016	Portsmouth	B/D
NC017	Argent	D
NC018	Conetoe	D
NC019	Baymeade	
NC022	Pasquotank	C
NC024	Croatan	B/D
NC025	Pungo	D
NC027	Roanoke	B
NC028	Leaf	D
NC029	Lakeland	D
NC030	Woodington	D
NC033	Croatan	B
NC034	Rains	A/D
NC035	Norfolk	B
NC038	Autryville	A
NC039	Leon	C
NC040	Kureb	
NC044	Woodington	C
NC049	Trebloc	A
NC050	Candor	B
NC052	Mayodan	C
NC057	White store	C
NC061	Herndon	D
NC062	Tatum	C
NC064	Goldston	B
NC068	Wedowee	C
NC069	Appling	C
NC074	Hiwassee	C
NC075	Pacolet	C
NC076	Tallapoosa	B
NC082	Appling	C
NC083	Enon	B
NC086	Iredell	B
NC087	Wilkes	C
NC088	Chester	B
NC089	Chester	B
NC091	Ditney	B
NC092	Sylco	C
NC094	Chandler	C
NC097	Edneyville	B/D
NC100	Evard	C
NC110	Urban land	C
NC111	Urban land	D
NC113	Hayesville	B
NC114	Cecil	C
NC115	Iredell	C
NC116	Portsmouth	B
NC117	Suffolk	B
NC118	Slagle	D
NC119	Emporia	B
NC122	Nansemond	A
NC124	Urban land	
NC125	Montevallo	C
SC020	Pacolet	B
SC021	Enon	B
SC022	Pacolet	C
SC023	Hiwassee	B
SC025	Madison	C
SC029	Cecil	B
SC030	Cecil	B
SC031	Pacolet	C
SC033	Madison	B
SC035	Wilkes	C
SC037	Pacolet	C
SC038	Vance	B
SC039	Madison	B
SC040	Wateree	C
SC041	Mecklenburg	C
SC042	Appling	C
SC047	Blanton	A
SC048	Helena	D
SC049	Blaney	C
SC052	Alpin	A
SC053	Blanton	B
SC058	Cantey	B/D
SC059	Norfolk	D
SC063	Meggett	D
SC071	Lynchburg	A/D
SC076	Rains	A/D
SC081	Osier	C
SC093	Levy	D
SC094	Leon	A
SC095	Leon	A
SC096	Cape fear	D
SC097	Grifton	A
SC098	Hobonny	D
SC099	Johnston	D
SC100	Cantey	B
SC101	Cantey	C
SC102	Persanti	B
SC103	Centenary	B/D
SC104	Norfolk	B
SC105	Blanton	D
SC106	Bohicket	C
SC107	Chisolm	C
SC108	Rutlege	
SC109	Woodington	B
SC110	Chisolm	D
SC111	Kenansville	B/D
SC112	Nansemond	A
SC115	Ailey	C
SC119	Foreston	A
SC130	Persanti	D
SC131	Lakeland	B/D
SC132	Trebloc	A
SC133	Coxville	B/D
SC135	Goldsboro	C
SC136	Wehadkee	D
SC139	Goldsboro	C
SC141	Alpin	B
SC142	Paxville	B/D
SC143	Chewacla	B
SC144	Molena	
SC145	Emporia	B
SC146	White store	C
SC147	Candor	B
SC148	Alpin	A/D
SC160	Autryville	A
SC026	Cataula	B
SC027	Cataula	B
SC028	Davidson	B
SC032	Pacolet	B
SC036	Chewacla	B
SC051	Lakeland	
SC054	Vaucluse	A
SC056	Toccoa	
SC057	Troup	B
SC060	Orangeburg	B
SC069	Varina	B
SC070	Bonneau	B
SC073	Plummer	D
SC074	Echaw	
SC077	Torhunta	
SC078	Chipley	B
SC079	Water	B/D
SC080	Haplaquents	D
SC082	Cape fear	B/D
SC083	Capers	D
SC085	Fripp	B/D
SC086	Lakeland	B/D
SC087	Nemours	B
SC091	Blanton	D
SC113	Dothan	C
SC114	Duplin	C
SC116	Goldsboro	B
SC118	Mouzon	C
SC120	Chisolm	
SC121	Blaney	B
SC122	Chipley	C
SC123	Noboco	C
SC124	Jedburg	D
SC125	Foxworth	B/D
SC126	Foxworth	B/D
SC127	Wadmalaw	
SC128	Emporia	D
SC129	Wadmalaw	B/D
SC134	Ponzer	A/D
SC137	Wagram	A/D
SC138	Norfolk	C
SC140	Pelion	A
SC150	Autryville	B
SC151	Grifton	D
SC153	Bonneau	A/D
