Name	Value
aliceblue	16775408
antiquewhite	14150650
antiquewhite1	14413823
antiquewhite2	13426670
antiquewhite3	11583693
antiquewhite4	7897995
aquamarine	13959039
aquamarine1	13959039
aquamarine2	13037174
aquamarine3	11193702
aquamarine4	7637829
azure	16777200
azure1	16777200
azure2	15658720
azure3	13487553
azure4	9145219
beige	14480885
bisque	12903679
bisque1	12903679
bisque2	12047854
bisque3	10401741
bisque4	7044491
black	0
black1	1
blanchedalmond	13495295
blue	16711680
blue1	16711680
blue2	15597568
blue3	13434880
blue4	9109504
bluesmoke	8421376
blueviolet	14822282
brightgreen	4259584
brightpurple	16711808
brown	16512
brown1	4210943
brown2	3881966
brown3	3355597
brown4	2302859
brown5	2763429
burlywood	8894686
burlywood1	10212351
burlywood2	9553390
burlywood3	8235725
burlywood4	5600139
cadetblue	10526303
cadetblue1	16774552
cadetblue2	15656334
cadetblue3	13485434
cadetblue4	9143891
chartreuse	65407
chartreuse1	65407
chartreuse2	61046
chartreuse3	52582
chartreuse4	35653
chocolate	1993170
chocolate1	2392063
chocolate2	2193134
chocolate3	1926861
chocolate4	1262987
coral	5275647
coral1	5665535
coral2	5270254
coral3	4545485
coral4	3096203
cornflowerblue	15570276
cornsilk	14481663
cornsilk1	14481663
cornsilk2	13494510
cornsilk3	11651277
cornsilk4	7899275
cyan	16776960
cyan1	16776960
cyan2	15658496
cyan3	13487360
cyan4	9145088
darkblue	8388608
darkblue1	9109504
darkbrown	64
darkcyan	9145088
darkgoldenrod	755384
darkgoldenrod1	1030655
darkgoldenrod2	962030
darkgoldenrod3	824781
darkgoldenrod4	550283
darkgray	4210752
darkgreen	32768
darkgreen1	25600
darkgreenblue	4210688
darkgrey	11119017
darkkhaki	7059389
darkmagenta	9109643
darkolivegreen	3107669
darkolivegreen1	7405514
darkolivegreen2	6876860
darkolivegreen3	5950882
darkolivegreen4	4033390
darkorange	4227327
darkorange1	32767
darkorange2	30446
darkorange3	26317
darkorange4	17803
darkorange5	36095
darkorchid	13382297
darkorchid1	16727743
darkorchid2	15612594
darkorchid3	13447834
darkorchid4	9118312
darkpurple	8388672
darkred	4210816
darkred1	139
darksalmon	8034025
darkseagreen	9419919
darkseagreen1	12713921
darkseagreen2	11857588
darkseagreen3	10210715
darkseagreen4	6916969
darkslateblue	9125192
darkslategray	5197615
darkslategray1	16777111
darkslategray2	15658637
darkslategray3	13487481
darkslategray4	9145170
darkslategrey	5197615
darkturquoise	13749760
darkviolet	13828244
deeppink	9639167
deeppink1	9639167
deeppink2	8983278
deeppink3	7737549
deeppink4	5245579
deepskyblue	16760576
deepskyblue1	16760576
deepskyblue2	15643136
deepskyblue3	13474304
deepskyblue4	9136128
dimgray	6908265
dimgrey	6908265
dodgerblue	16748574
dodgerblue1	16748574
dodgerblue2	15631900
