month	day	year	Tmax
01	01	1986	48
01	02	1986	42
01	03	1986	53
01	04	1986	58
01	05	1986	45
01	06	1986	44
01	07	1986	48
01	08	1986	30
01	09	1986	32
01	10	1986	45
01	11	1986	55
01	12	1986	45
01	13	1986	61
01	14	1986	45
01	15	1986	25
01	16	1986	29
01	17	1986	46
01	18	1986	56
01	19	1986	69
01	20	1986	59
01	21	1986	56
01	22	1986	53
01	23	1986	67
01	24	1986	43
01	25	1986	37
01	26	1986	37
01	27	1986	38
01	28	1986	29
01	29	1986	23
01	30	1986	26
01	31	1986	32
02	01	1986	41
02	02	1986	46
02	03	1986	68
02	04	1986	46
02	05	1986	45
02	06	1986	56
02	07	1986	43
02	08	1986	28
02	09	1986	34
02	10	1986	36
02	11	1986	35
02	12	1986	30
02	13	1986	31
02	14	1986	28
02	15	1986	32
02	16	1986	39
02	17	1986	41
02	18	1986	55
02	19	1986	42
02	20	1986	46
02	21	1986	42
02	22	1986	55
02	23	1986	38
02	24	1986	44
02	25	1986	37
02	26	1986	36
02	27	1986	38
02	28	1986	33
03	01	1986	35
03	02	1986	37
03	03	1986	40
03	04	1986	45
03	05	1986	46
03	06	1986	47
03	07	1986	51
03	08	1986	35
03	09	1986	36
03	10	1986	67
03	11	1986	75
03	12	1986	72
03	13	1986	47
03	14	1986	48
03	15	1986	62
03	16	1986	68
03	17	1986	61
03	18	1986	55
03	19	1986	63
03	20	1986	76
03	21	1986	50
03	22	1986	37
03	23	1986	47
03	24	1986	62
03	25	1986	59
03	26	1986	68
03	27	1986	75
03	28	1986	68
03	29	1986	63
03	30	1986	78
03	31	1986	85
04	01	1986	83
04	02	1986	79
04	03	1986	76
04	04	1986	68
04	05	1986	73
04	06	1986	55
04	07	1986	53
04	08	1986	74
04	09	1986	76
04	10	1986	55
04	11	1986	51
04	12	1986	50
04	13	1986	62
04	14	1986	55
04	15	1986	65
04	16	1986	56
04	17	1986	56
04	18	1986	56
04	19	1986	66
04	20	1986	71
04	21	1986	74
04	22	1986	68
04	23	1986	68
04	24	1986	50
04	25	1986	70
04	26	1986	69
04	27	1986	79
04	28	1986	81
04	29	1986	78
04	30	1986	79
05	01	1986	79
05	02	1986	87
05	03	1986	68
05	04	1986	60
05	05	1986	69
05	06	1986	86
05	07	1986	90
05	08	1986	90
05	09	1986	77
05	10	1986	65
05	11	1986	72
05	12	1986	79
05	13	1986	72
05	14	1986	70
05	15	1986	59
05	16	1986	68
05	17	1986	85
05	18	1986	89
05	19	1986	90
05	20	1986	85
05	21	1986	78
05	22	1986	77
05	23	1986	75
05	24	1986	75
05	25	1986	77
05	26	1986	80
05	27	1986	80
05	28	1986	74
05	29	1986	85
05	30	1986	90
05	31	1986	92
06	01	1986	90
06	02	1986	92
06	03	1986	85
06	04	1986	72
06	05	1986	82
06	06	1986	88
06	07	1986	90
06	08	1986	87
06	09	1986	91
06	10	1986	86
06	11	1986	85
06	12	1986	92
06	13	1986	96
06	14	1986	86
06	15	1986	86
06	16	1986	89
06	17	1986	92
06	18	1986	81
06	19	1986	79
06	20	1986	85
06	21	1986	84
06	22	1986	82
06	23	1986	88
06	24	1986	92
06	25	1986	88
06	26	1986	78
06	27	1986	82
06	28	1986	92
06	29	1986	90
06	30	1986	92
07	01	1986	88
07	02	1986	73
07	03	1986	85
07	04	1986	80
07	05	1986	83
07	06	1986	93
07	07	1986	96
07	08	1986	97
07	09	1986	97
07	10	1986	87
07	11	1986	87
07	12	1986	90
07	13	1986	95
07	14	1986	94
07	15	1986	92
07	16	1986	88
07	17	1986	88
07	18	1986	86
07	19	1986	98
07	20	1986	90
07	21	1986	90
07	22	1986	90
07	23	1986	87
07	24	1986	88
07	25	1986	88
07	26	1986	90
07	27	1986	88
07	28	1986	91
07	29	1986	93
07	30	1986	94
07	31	1986	84
08	01	1986	90
08	02	1986	88
08	03	1986	92
08	04	1986	81
08	05	1986	86
08	06	1986	86
08	07	1986	87
08	08	1986	86
08	09	1986	83
08	10	1986	90
08	11	1986	90
08	12	1986	81
08	13	1986	76
08	14	1986	79
08	15	1986	83
08	16	1986	88
08	17	1986	90
08	18	1986	85
08	19	1986	86
08	20	1986	79
08	21	1986	75
08	22	1986	70
08	23	1986	82
08	24	1986	83
08	25	1986	79
08	26	1986	80
08	27	1986	85
08	28	1986	87
08	29	1986	66
08	30	1986	67
08	31	1986	70
09	01	1986	75
09	02	1986	73
09	03	1986	71
09	04	1986	76
09	05	1986	78
09	06	1986	73
09	07	1986	82
09	08	1986	77
09	09	1986	70
09	10	1986	75
09	11	1986	73
09	12	1986	83
09	13	1986	86
09	14	1986	77
09	15	1986	76
09	16	1986	80
09	17	1986	69
09	18	1986	67
09	19	1986	73
09	20	1986	80
09	21	1986	78
09	22	1986	82
09	23	1986	74
09	24	1986	86
09	25	1986	84
09	26	1986	83
09	27	1986	91
09	28	1986	85
09	29	1986	70
09	30	1986	83
10	01	1986	91
10	02	1986	90
10	03	1986	88
10	04	1986	82
10	05	1986	85
10	06	1986	78
10	07	1986	65
10	08	1986	65
10	09	1986	77
10	10	1986	80
10	11	1986	57
10	12	1986	65
10	13	1986	66
10	14	1986	67
10	15	1986	77
10	16	1986	60
10	17	1986	63
10	18	1986	59
10	19	1986	59
10	20	1986	62
10	21	1986	67
10	22	1986	71
10	23	1986	75
10	24	1986	76
10	25	1986	72
10	26	1986	59
10	27	1986	64
10	28	1986	69
10	29	1986	68
10	30	1986	66
10	31	1986	69
11	01	1986	68
