NPDES	PA0098477
FAC_NAME	HIGHLAND TANK & MANUFACTURING
OWNERSHIP	PRIVATE
NEW_STATUS	STD NPDES
STREAM_CLS	
NEW_DATE	
PRETREAT	
FAC_UPDATE	
REC_POTW	
PCS_LAT	40.08666667
PCS_LONG	-78.91444444
LATLONG_AC	
EF_LAT	40.121227
EF_LONG	-78.962165
EF_ACC_M	11000
BLAT	40.121227
BLONG	-78.962165
BFIPS	42111
STATE_ID	
PERM_TYPE	STANDARD
ACTIVE	ACTIVE
MAJOR_ID	MINOR
SIC2	
SIC2D	
IND_CLASS	
EPA_REG	3
STATE	PA
CITY	QUEMAHONING TWP
COUNTY	SOMERSET
LOC_NAME	
ADDRESS1	
ADDRESS2	
FAC_CITY	
FAC_STATE	
ZIP_CODE	
TELE	8148931116
RIV_BASIN	OR/ALLEGHENY R.
CU	5010007
STREAM_SEG	
REC_WATER	OVEN RUN
STREAM_MIL	
PERM_AGENC	STATE
LIMIT_ID	
BSOURCE	EF
FLOW_RATE	0.0003
BSEG	
PERM_ISSUE	62788
INACTIVE	
PERMIT_DAT	12699
PERMIT_EXP	12604
PERMIT_EFF	
PERMIT_MOD	
BCU	5010007
MAJOR_STAT	NO CHG FOR MINOR
APP_TYPE	
